Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    141.67     0.00      467     0.00     0.00  Abc_NodeFromIf_rec
  0.00    141.67     0.00      467     0.00     0.00  If_ManCreateCo
  0.00    141.67     0.00      466     0.00     0.00  Abc_NtkDupBox
  0.00    141.67     0.00      465     0.00     0.00  Abc_ObjPatchFanin
  0.00    141.67     0.00      464     0.00     0.00  Abc_NtkCreateNodeBuf
  0.00    141.67     0.00      464     0.00     0.00  Vec_PtrPush
  0.00    141.67     0.00      422     0.00     0.00  cuddZddGetNodeIVO
  0.00    141.67     0.00      422     0.00     0.00  cuddZddProduct
  0.00    141.67     0.00      341     0.00     0.00  Hop_ManFetchMemory
  0.00    141.67     0.00      333     0.00     0.00  Hop_ObjConnect
  0.00    141.67     0.00      333     0.00     0.00  Hop_ObjCreate
  0.00    141.67     0.00      333     0.00     0.00  Hop_TableFind
  0.00    141.67     0.00      333     0.00     0.00  Hop_TableInsert
  0.00    141.67     0.00      269     0.00     0.00  CmdFreeArgv
  0.00    141.67     0.00      264     0.00     0.00  Extra_CpuTimeDouble
  0.00    141.67     0.00      261     0.00     0.00  cuddZddGetNegVarLevel
  0.00    141.67     0.00      261     0.00     0.00  cuddZddGetPosVarLevel
  0.00    141.67     0.00      219     0.00     0.00  Abc_SopComplement
  0.00    141.67     0.00      158     0.00     0.00  CmdSplitLine
  0.00    141.67     0.00      157     0.00     0.00  CmdApplyAlias
  0.00    141.67     0.00      157     0.00     0.88  CmdCommandDispatch
  0.00    141.67     0.00      153     0.00     0.00  Cmd_CommandExecute
  0.00    141.67     0.00      150     0.00     0.00  CmdHistorySubstitution
  0.00    141.67     0.00      137     0.00     0.00  Fxch_DivSepareteCubes
  0.00    141.67     0.00      136     0.00     0.00  Extra_UtilGetopt
  0.00    141.67     0.00      133     0.00     0.00  Extra_UtilGetoptReset
  0.00    141.67     0.00      132     0.00     0.00  cmdCheckShellEscape
  0.00    141.67     0.00      112     0.00     0.00  CmdCommandAlias
  0.00    141.67     0.00      112     0.00     0.00  CmdCommandAliasAdd
  0.00    141.67     0.00      112     0.00     0.00  CmdCommandAliasFree
  0.00    141.67     0.00       28     0.00     0.00  Gluco::Option::Option(char const*, char const*, char const*, char const*)
  0.00    141.67     0.00       28     0.00     0.00  Gluco2::Option::Option(char const*, char const*, char const*, char const*)
  0.00    141.67     0.00       23     0.00     0.00  Mem_FixedStart
  0.00    141.67     0.00       23     0.00     0.00  Mem_FixedStop
  0.00    141.67     0.00       22     0.00     0.00  cuddComputeFloorLog2
  0.00    141.67     0.00       19     0.00     0.00  Abc_FrameReadNtk
  0.00    141.67     0.00       15     0.00     0.00  Abc_FrameIsBridgeMode
  0.00    141.67     0.00       15     0.00     0.00  Cmd_CommandHandleSpecial
  0.00    141.67     0.00       14     0.00     0.00  CmdCommandSetVariable
  0.00    141.67     0.00       12     0.00     0.00  Gia_ManStopP
  0.00    141.67     0.00       10     0.00     0.00  Abc_FrameGetGlobalFrame
  0.00    141.67     0.00        9     0.00     0.00  Extra_FileNameExtension
  0.00    141.67     0.00        9     0.00     0.00  Mtr_AllocNode
  0.00    141.67     0.00        9     0.00     0.00  Mtr_DeallocNode
  0.00    141.67     0.00        9     0.00     0.00  rehash
  0.00    141.67     0.00        8     0.00     0.00  Abc_FrameShowProgress
  0.00    141.67     0.00        8     0.00     0.00  Cudd_bddIthVar
  0.00    141.67     0.00        8     0.00     0.00  Extra_ProgressBarStart
  0.00    141.67     0.00        8     0.00     0.00  Extra_ProgressBarStop
  0.00    141.67     0.00        8     0.00     0.00  Hop_ObjCreatePi
  0.00    141.67     0.00        8     0.00     0.00  Mtr_MakeGroup
  0.00    141.67     0.00        8     0.00     0.00  cuddUniqueConst
  0.00    141.67     0.00        6     0.00     0.00  Abc_Print
  0.00    141.67     0.00        6     0.00     0.00  Vec_MemHashInsert
  0.00    141.67     0.00        6     0.00     0.00  Vec_MemHashLookup
  0.00    141.67     0.00        5     0.00     0.00  Abc_NtkCleanCopy
  0.00    141.67     0.00        5     0.00     0.00  If_ManComputeRequired
  0.00    141.67     0.00        5     0.00     0.00  If_ManDelayMax
  0.00    141.67     0.00        5     0.00     0.00  If_ManMarkMapping
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCiNames
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCioNames
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkCheckUniqueCoNames
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkDoCheck
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkIsAcyclic
  0.00    141.67     0.00        3     0.00     0.00  Abc_NtkSortCubes
  0.00    141.67     0.00        3     0.00     0.00  Cmd_HistoryAddCommand
  0.00    141.67     0.00        3     0.00     0.00  Nm_ManReturnNameIds
  0.00    141.67     0.00        3     0.00     0.00  cuddClearDeathRow
  0.00    141.67     0.00        2     0.00     0.00  Abc_FrameReplaceCurrentNetwork
  0.00    141.67     0.00        2     0.00     0.00  Abc_NtkAlloc
  0.00    141.67     0.00        2     0.00     0.00  Abc_NtkCheck
  0.00    141.67     0.00        2     0.00     0.00  Abc_NtkCreateNodeConst1
  0.00    141.67     0.00        2     0.00     0.00  Abc_NtkDelete
  0.00    141.67     0.00        2     0.00     0.00  Cudd_CheckZeroRef
  0.00    141.67     0.00        2     0.00     0.01  Cudd_Init
  0.00    141.67     0.00        2     0.00     0.00  Cudd_Quit
  0.00    141.67     0.00        2     0.00     0.00  Cudd_ReadOne
  0.00    141.67     0.00        2     0.00     0.00  Cudd_SetMinHit
  0.00    141.67     0.00        2     0.00     0.00  Dar_ArrayAlloc
  0.00    141.67     0.00        2     0.00     0.00  Dar_Factorial
  0.00    141.67     0.00        2     0.00     0.00  Dar_Permutations
  0.00    141.67     0.00        2     0.00     0.00  Dar_Permutations_rec
  0.00    141.67     0.00        2     0.00     0.00  Extra_GetSoftDataLimit
  0.00    141.67     0.00        2     0.00     0.00  Extra_MmFlexStart
  0.00    141.67     0.00        2     0.00     0.00  Extra_MmFlexStop
  0.00    141.67     0.00        2     0.00     0.00  Extra_StopManager
  0.00    141.67     0.00        2     0.00     0.00  Extra_UtilCheckFile
  0.00    141.67     0.00        2     0.00     0.00  Extra_UtilFileSearch
  0.00    141.67     0.00        2     0.00     0.00  Fxch_ManPrintStats
  0.00    141.67     0.00        2     0.00     0.00  If_ManResetOriginalRefs
  0.00    141.67     0.00        2     0.00     0.00  Mem_FixedReadMemUsage
  0.00    141.67     0.00        2     0.00     0.00  Mem_StepReadMemUsage
  0.00    141.67     0.00        2     0.00     0.00  Mem_StepStart
  0.00    141.67     0.00        2     0.00     0.00  Mem_StepStop
  0.00    141.67     0.00        2     0.00     0.00  Nm_ManCreate
  0.00    141.67     0.00        2     0.00     0.00  Nm_ManFree
  0.00    141.67     0.00        2     0.00     0.00  Vec_WecRemoveEmpty
  0.00    141.67     0.00        2     0.00     0.00  CaDiCaL::Terminal::Terminal(_IO_FILE*)
